window,model,var,coef,t_stat,p_val,sig
5d,model3,sentiment_zscore,0.0003,0.52,0.603,
5d,model3,ivix,0.0046,5.06,0.0,***
5d,model3,north_flow,0.0,0.01,0.992,
5d,model3,margin_balance,-0.0009,-1.52,0.129,
5d,model3,amihud,-0.001,-1.15,0.25,
5d,model3,momentum_20d,0.0001,0.23,0.818,
5d,model3,intraday_range,0.0022,2.48,0.013,**
60d,model3,sentiment_zscore,-0.001,-0.18,0.857,
60d,model3,ivix,-0.0008,-0.13,0.897,
60d,model3,north_flow,0.0066,3.29,0.001,***
60d,model3,margin_balance,-0.002,-0.3,0.764,
60d,model3,amihud,0.0049,1.02,0.308,
60d,model3,momentum_20d,-0.0008,-0.14,0.889,
60d,model3,intraday_range,-0.006,-1.34,0.18,
