Target,Window,Model,Variable,Coef,t_value,p_value
AbsAR,5d,model1,const,0.021860102038117384,23.82243062745384,1.9559241215367984e-125
AbsAR,5d,model1,sentiment_zscore_z_lag1,0.00032176767083070624,0.6477659750714964,0.5171363252657752
AbsAR,5d,model1,ivix_z_lag1,0.006148209817510015,6.037212706031186,1.5679898072060325e-09
AbsAR,5d,model2,const,0.021868429798740735,23.774374126521366,6.150559002976866e-125
AbsAR,5d,model2,sentiment_zscore_z_lag1,0.0003751814066837271,0.7198846566121487,0.47159601572199195
AbsAR,5d,model2,ivix_z_lag1,0.0061157748664294,5.944346380858074,2.7756212608649557e-09
AbsAR,5d,model2,north_flow_z_lag1,-0.0003076906384229158,-0.500602050869115,0.6166512188049714
AbsAR,5d,model2,margin_balance_z_lag1,-8.055239116542141e-05,-0.10654176884844725,0.9151525172291918
AbsAR,5d,model3,const,0.02183252590655034,25.333855617942742,1.353769294464119e-141
AbsAR,5d,model3,sentiment_zscore_z_lag1,0.00010643039096974282,0.20815363980397278,0.8351090057653808
AbsAR,5d,model3,ivix_z_lag1,0.005058676524317078,4.484949993083926,7.293103687191685e-06
AbsAR,5d,model3,north_flow_z_lag1,-0.0005894724274454783,-0.9250216015403034,0.3549546711333148
AbsAR,5d,model3,margin_balance_z_lag1,-0.0001934175212138434,-0.24948950559734132,0.8029821576285706
AbsAR,5d,model3,amihud_z_lag1,0.00012957831849327807,0.1594607786781958,0.8733058569575229
AbsAR,5d,model3,momentum_20d_z_lag1,0.0026449613239150306,2.838113401210406,0.004538105647596669
AbsAR,5d,model3,intraday_range_z_lag1,0.0022988943316456824,1.9323458504463544,0.05331683276737835
AbsAR,5d,model4,const,0.02158256765150944,24.103117432022298,2.3184768742433014e-128
AbsAR,5d,model4,sentiment_zscore_z_lag1,0.00013381257398173971,0.26407624104242716,0.7917211711386218
AbsAR,5d,model4,ivix_z_lag1,0.004780995295727548,3.6578133070153243,0.0002543762195730239
AbsAR,5d,model4,north_flow_z_lag1,-0.0006445318965152742,-1.0090087420816818,0.3129704416238285
AbsAR,5d,model4,margin_balance_z_lag1,-0.00013978864440044626,-0.17932924212441137,0.8576791871165508
AbsAR,5d,model4,amihud_z_lag1,9.213048097760838e-05,0.11631386424063563,0.9074037981171557
AbsAR,5d,model4,momentum_20d_z_lag1,0.0024812777758112204,2.7494407045263127,0.0059697062728521376
AbsAR,5d,model4,intraday_range_z_lag1,0.0023499426615086537,1.9787308818082945,0.04784631406390111
AbsAR,5d,model4,epu_z_lag1,0.0009176444323433738,1.0569056282720124,0.29055465953726045
AbsAR,5d,model4,fx_vol_z_lag1,-0.0006759280944867746,-0.7644694865229131,0.4445875137142036
AbsAR,5d,model_lasso,const,0.021821127074921752,25.138582716451175,1.8839790489007308e-139
AbsAR,5d,model_lasso,ivix_z_lag1,0.0050191261251340165,4.591210663603,4.406822486168821e-06
AbsAR,5d,model_lasso,north_flow_z_lag1,-0.0005667860421459741,-0.9126884934495946,0.3614063973291285
AbsAR,5d,model_lasso,momentum_20d_z_lag1,0.002620998901335212,2.971187603646039,0.0029665050651330295
AbsAR,5d,model_lasso,intraday_range_z_lag1,0.0023685974665794787,2.314613321698975,0.0206341031647015
AbsAR,60d,model1,const,0.06257941669252454,8.041961300129833,8.841181656394996e-16
AbsAR,60d,model1,sentiment_zscore_z_lag1,-0.0007843354747783617,-0.6603646166934402,0.5090198729010942
AbsAR,60d,model1,ivix_z_lag1,0.0026748977918342703,0.3909577516108315,0.6958284647170183
AbsAR,60d,model2,const,0.06308755658101706,7.911058654056808,2.552092453571172e-15
AbsAR,60d,model2,sentiment_zscore_z_lag1,-0.0024173264361668813,-1.5792103606152406,0.11428781431129048
AbsAR,60d,model2,ivix_z_lag1,0.0052904362681754314,0.7502825969308525,0.45308452176340186
AbsAR,60d,model2,north_flow_z_lag1,0.0072194903964061165,3.039926482450888,0.002366359038979097
AbsAR,60d,model2,margin_balance_z_lag1,-0.0043425021307789535,-0.6397312751607142,0.5223473190170191
AbsAR,60d,model3,const,0.06235546189358156,7.896960162409847,2.857876633854668e-15
AbsAR,60d,model3,sentiment_zscore_z_lag1,-0.0023040870933602113,-1.7582865296175787,0.07869876850874236
AbsAR,60d,model3,ivix_z_lag1,0.008958036962971358,1.1819720640696112,0.23721678568084847
AbsAR,60d,model3,north_flow_z_lag1,0.0067413800922541175,2.6743993594319564,0.007486324235344018
AbsAR,60d,model3,margin_balance_z_lag1,-0.002894701871472927,-0.4535377510336492,0.6501615660536696
AbsAR,60d,model3,amihud_z_lag1,0.00678719161761179,2.0628158199982027,0.03913013039813735
AbsAR,60d,model3,momentum_20d_z_lag1,0.002186571682874873,0.38527348288885993,0.7000348056121466
AbsAR,60d,model3,intraday_range_z_lag1,-0.011339839850647997,-2.123866846938205,0.03368127933131035
AbsAR,60d,model4,const,0.057781423390943255,9.634072695087527,5.740797129751348e-22
AbsAR,60d,model4,sentiment_zscore_z_lag1,-0.0019272661030553485,-1.3422047295929254,0.17952962338981748
AbsAR,60d,model4,ivix_z_lag1,-0.0023232259253561476,-0.23611759689735834,0.8133414195879536
AbsAR,60d,model4,north_flow_z_lag1,0.00545925044691122,2.238924789530046,0.025160810220449335
AbsAR,60d,model4,margin_balance_z_lag1,-0.0021865903799896586,-0.41142926641587735,0.6807577976149157
AbsAR,60d,model4,amihud_z_lag1,0.004474825671926403,1.37029446893023,0.17059499894234986
AbsAR,60d,model4,momentum_20d_z_lag1,0.0020158748604073083,0.3382431730190757,0.7351799437505273
AbsAR,60d,model4,intraday_range_z_lag1,-0.007727766442709885,-1.5294667933849606,0.12614876504845352
AbsAR,60d,model4,epu_z_lag1,0.010629199414972722,1.2323676385988416,0.2178117838125202
AbsAR,60d,model4,fx_vol_z_lag1,0.018579644177682927,2.348533547762933,0.018847501263272164
AbsAR,60d,model_lasso,const,0.06257941669252454,8.041961300129833,8.841181656394996e-16
AbsAR,60d,model_lasso,sentiment_zscore_z_lag1,-0.0007843354747783617,-0.6603646166934402,0.5090198729010942
AbsAR,60d,model_lasso,ivix_z_lag1,0.0026748977918342703,0.3909577516108315,0.6958284647170183
