Window,Model,Adj_R2,Joint_F_12,Joint_P_12,Joint_F_23,Joint_P_23,Joint_F_34,Joint_P_34,LASSO_Selected
5d,model1,0.05631073020817001,,,,,,,
5d,model2,0.055107528413013696,0.13203459081620317,0.8763228147479843,,,,,
5d,model3,0.07255915765535093,,,4.407187328676049,0.004307717141478703,,,
5d,model4,0.07453184385082745,,,,,0.9789141298785252,0.37600578450531874,
5d,model_lasso,0.07456102570250123,,,,,,,"ivix_z_lag1, north_flow_z_lag1, momentum_20d_z_lag1, intraday_range_z_lag1"
60d,model1,-0.00025340931814099577,,,,,,,
60d,model2,0.02119974306246175,4.649157928308115,0.009734549985778983,,,,,
60d,model3,0.03064524272588587,,,2.52693079116665,0.05601132523425731,,,
60d,model4,0.11649426399029117,,,,,2.759566689405133,0.06370375848783845,
60d,model_lasso,-0.00025340931814099577,,,,,,,
