Window,Model,Variable,Coefficient/Importance
R_5d,Ridge_60dim,cpi_lagm1,7.596228510113842e-05
R_5d,Ridge_60dim,cpi_lagm2,0.00014597917593024793
R_5d,Ridge_60dim,cpi_lagm3,0.0003044462805940701
R_5d,Ridge_60dim,cpi_lagm4,6.948293303672625e-05
R_5d,Ridge_60dim,cpi_lagm5,6.15174198517116e-05
R_5d,Ridge_60dim,cpi_lagm6,8.010523239479939e-05
R_5d,Ridge_60dim,cpi_lagm7,9.801071512862966e-05
R_5d,Ridge_60dim,cpi_lagm8,-2.39589530276867e-05
R_5d,Ridge_60dim,cpi_lagm9,0.0002501302605205249
R_5d,Ridge_60dim,cpi_lagm10,0.000131741924817449
R_5d,Ridge_60dim,cpi_lagm11,3.658825367436921e-05
R_5d,Ridge_60dim,cpi_lagm12,-0.00010825365272867453
R_5d,Ridge_60dim,ppi_lagm1,1.7158482672185044e-05
R_5d,Ridge_60dim,ppi_lagm2,8.926958928636375e-05
R_5d,Ridge_60dim,ppi_lagm3,7.575396818212122e-05
R_5d,Ridge_60dim,ppi_lagm4,3.791499230525528e-05
R_5d,Ridge_60dim,ppi_lagm5,7.422467647743931e-06
R_5d,Ridge_60dim,ppi_lagm6,-3.8284334713073645e-05
R_5d,Ridge_60dim,ppi_lagm7,-2.591763555226483e-05
R_5d,Ridge_60dim,ppi_lagm8,-4.394976175388818e-05
R_5d,Ridge_60dim,ppi_lagm9,-7.697835428150266e-05
R_5d,Ridge_60dim,ppi_lagm10,-0.00010178951267214786
R_5d,Ridge_60dim,ppi_lagm11,-9.641373494845046e-05
R_5d,Ridge_60dim,ppi_lagm12,-0.00011677780351502277
R_5d,Ridge_60dim,m2_growth_lagm1,0.00012103764791996964
R_5d,Ridge_60dim,m2_growth_lagm2,-3.053824864452846e-05
R_5d,Ridge_60dim,m2_growth_lagm3,6.488270252501882e-05
R_5d,Ridge_60dim,m2_growth_lagm4,0.00015106195597540699
R_5d,Ridge_60dim,m2_growth_lagm5,7.56424802759645e-05
R_5d,Ridge_60dim,m2_growth_lagm6,8.32586306232132e-05
R_5d,Ridge_60dim,m2_growth_lagm7,4.383056659690286e-05
R_5d,Ridge_60dim,m2_growth_lagm8,-6.654691167838523e-05
R_5d,Ridge_60dim,m2_growth_lagm9,-9.743098871843655e-06
R_5d,Ridge_60dim,m2_growth_lagm10,-2.5061719793278097e-06
