Window,Model,Feature_Type,R2_InSample,RMSE_InSample,MAE_InSample,R2_OutSample,RMSE_OutSample,MAE_OutSample
R_5d,Baseline_Stage1,MIDAS,0.0036325228732176917,0.02710385582581013,0.02021584013922024,0.0018670247346398439,0.02558683592746147,0.01796000867167883
R_5d,Ridge_60dim,60dim,0.024832887333933074,0.026813952155840634,0.020042023050567948,0.005198038800257043,0.025600589449789875,0.0179371747702802
R_5d,Ridge_15dim,15dim,0.020818213384814932,0.02686909076014743,0.02010885537885435,-0.004233638582856969,0.025721662234682623,0.018075266382595344
R_5d,ElasticNet_60dim,60dim,0.017363988433385935,0.026916441607941932,0.02009725010444462,-0.0051163238745761674,0.025732963960308566,0.018118475621671796
R_5d,ElasticNet_15dim,15dim,0.014269773331731184,0.02695878678869533,0.020121499730276143,-0.0010427840942859312,0.025680765685503298,0.018039100022337634
R_5d,PCR_60dim,60dim,0.006419870676453332,0.027065917622664824,0.02021229661597327,0.009045515128736747,0.025551035323811075,0.017871615519360957
R_5d,PCR_15dim,15dim,0.012782095582446584,0.0269791224066202,0.020174760813279353,0.007394695129533169,0.025572309059643188,0.017916901656817856
R_60d,Baseline_Stage1,MIDAS,0.04032925562294354,0.08187616511509498,0.06184291077684162,0.03957702725521062,0.0852135236850157,0.07102993609137669
R_60d,Ridge_60dim,60dim,0.25700437959603883,0.07204261895799598,0.053866024879934415,0.08770584804770987,0.08457792986935986,0.06947110229511849
R_60d,Ridge_15dim,15dim,0.2574287705537527,0.07202204104180068,0.05413682661695909,0.04692103625566946,0.08644782034586543,0.07174256701360773
R_60d,ElasticNet_60dim,60dim,0.21305152251835524,0.0741428908250896,0.05576041414387119,-0.020475821159153806,0.08945218745852813,0.07641696304191954
R_60d,ElasticNet_15dim,15dim,0.2905649850957973,0.07039676064601989,0.05324419354470004,-0.16522882413231788,0.0955862040854844,0.08284513061981019
R_60d,PCR_60dim,60dim,0.07300412172519488,0.08047023450778851,0.061718170772287924,0.09776047164801294,0.08411056122206116,0.07101784253118688
R_60d,PCR_15dim,15dim,0.161219846116206,0.07654563646515249,0.0587808269892016,0.09584980076437999,0.08419957450662333,0.07212768751723204
