target,feature_scheme,model,variable,coefficient,coefficient_or_importance,explained_variance_ratio
R_5d,summary,Baseline_SummaryOLS,const,-171.26050022851328,,
R_5d,summary,Baseline_SummaryOLS,cpi_yoy_m1,0.22331591968799006,,
R_5d,summary,Baseline_SummaryOLS,cpi_yoy_avg3,1.123503517579619,,
R_5d,summary,Baseline_SummaryOLS,cpi_yoy_avg6,-1.3484029130650166,,
R_5d,summary,Baseline_SummaryOLS,cpi_yoy_avg12,0.29569657435947916,,
R_5d,summary,Baseline_SummaryOLS,cpi_delta1_m1,-0.03588527777766951,,
R_5d,summary,Baseline_SummaryOLS,cpi_delta1_avg3,0.0223046314109288,,
R_5d,summary,Baseline_SummaryOLS,cpi_delta1_avg6,-0.22404780662422452,,
R_5d,summary,Baseline_SummaryOLS,cpi_delta1_avg12,0.303398262606485,,
R_5d,summary,Baseline_SummaryOLS,cpi_dev12_m1,-0.07238065481397535,,
R_5d,summary,Baseline_SummaryOLS,cpi_dev12_avg3,-1.0845264809105248,,
R_5d,summary,Baseline_SummaryOLS,cpi_dev12_avg6,1.625083536311222,,
R_5d,summary,Baseline_SummaryOLS,cpi_dev12_avg12,-2.2748950480260155,,
R_5d,summary,Baseline_SummaryOLS,ppi_yoy_m1,0.11086042402148014,,
R_5d,summary,Baseline_SummaryOLS,ppi_yoy_avg3,0.4823888174581209,,
R_5d,summary,Baseline_SummaryOLS,ppi_yoy_avg6,-1.0512743928902746,,
R_5d,summary,Baseline_SummaryOLS,ppi_yoy_avg12,0.34940277932234465,,
R_5d,summary,Baseline_SummaryOLS,ppi_delta1_m1,0.0638490127360396,,
R_5d,summary,Baseline_SummaryOLS,ppi_delta1_avg3,0.036287573645338904,,
R_5d,summary,Baseline_SummaryOLS,ppi_delta1_avg6,-0.13162482403471237,,
R_5d,summary,Baseline_SummaryOLS,ppi_delta1_avg12,0.18294612172343314,,
R_5d,summary,Baseline_SummaryOLS,ppi_dev12_m1,-0.2385423553066579,,
R_5d,summary,Baseline_SummaryOLS,ppi_dev12_avg3,-0.3789383399159212,,
R_5d,summary,Baseline_SummaryOLS,ppi_dev12_avg6,1.0836511873961578,,
R_5d,summary,Baseline_SummaryOLS,ppi_dev12_avg12,-0.46358673743271744,,
R_5d,summary,Baseline_SummaryOLS,m2_yoy_m1,-0.12611862137910318,,
R_5d,summary,Baseline_SummaryOLS,m2_yoy_avg3,1.3300992299656715,,
R_5d,summary,Baseline_SummaryOLS,m2_yoy_avg6,-1.3821835741205517,,
R_5d,summary,Baseline_SummaryOLS,m2_yoy_avg12,-0.23932751436382643,,
R_5d,summary,Baseline_SummaryOLS,m2_delta1_m1,-0.00761386680108782,,
R_5d,summary,Baseline_SummaryOLS,m2_delta1_avg3,0.011778113371395001,,
R_5d,summary,Baseline_SummaryOLS,m2_delta1_avg6,-0.288361790918047,,
R_5d,summary,Baseline_SummaryOLS,m2_delta1_avg12,0.6256766647900994,,
R_5d,summary,Baseline_SummaryOLS,m2_dev12_m1,0.11320889209956961,,
R_5d,summary,Baseline_SummaryOLS,m2_dev12_avg3,-1.3223477150606606,,
R_5d,summary,Baseline_SummaryOLS,m2_dev12_avg6,1.8826021244229272,,
R_5d,summary,Baseline_SummaryOLS,m2_dev12_avg12,-0.7946593950052929,,
R_5d,summary,Baseline_SummaryOLS,epu_log_m1,0.7512512095499764,,
R_5d,summary,Baseline_SummaryOLS,epu_log_avg3,-2.3744804483750457,,
R_5d,summary,Baseline_SummaryOLS,epu_log_avg6,-2.788927506745012,,
R_5d,summary,Baseline_SummaryOLS,epu_log_avg12,1.498120372572966,,
R_5d,summary,Baseline_SummaryOLS,epu_log_delta1_m1,0.007410385471081199,,
R_5d,summary,Baseline_SummaryOLS,epu_log_delta1_avg3,0.12863873425071676,,
R_5d,summary,Baseline_SummaryOLS,epu_log_delta1_avg6,0.3826169555883485,,
R_5d,summary,Baseline_SummaryOLS,epu_log_delta1_avg12,-0.7259892034867449,,
R_5d,summary,Baseline_SummaryOLS,epu_log_dev12_m1,-0.7468691632903185,,
R_5d,summary,Baseline_SummaryOLS,epu_log_dev12_avg3,2.495711755910206,,
R_5d,summary,Baseline_SummaryOLS,epu_log_dev12_avg6,2.422681950266987,,
R_5d,summary,Baseline_SummaryOLS,epu_log_dev12_avg12,-1.6678259891518301,,
R_5d,summary,Baseline_SummaryOLS,fx_log_m1,-12.884766111737253,,
R_5d,summary,Baseline_SummaryOLS,fx_log_avg3,27.47545087470967,,
R_5d,summary,Baseline_SummaryOLS,fx_log_avg6,40.206565633669335,,
R_5d,summary,Baseline_SummaryOLS,fx_log_avg12,-25.193341285459333,,
R_5d,summary,Baseline_SummaryOLS,fx_ret1_m1,-0.4945132441422749,,
R_5d,summary,Baseline_SummaryOLS,fx_ret1_avg3,0.9223576791618833,,
R_5d,summary,Baseline_SummaryOLS,fx_ret1_avg6,-5.586847419439432,,
R_5d,summary,Baseline_SummaryOLS,fx_ret1_avg12,20.336552743349024,,
R_5d,summary,Baseline_SummaryOLS,fx_dev12_m1,12.30857517492015,,
R_5d,summary,Baseline_SummaryOLS,fx_dev12_avg3,-30.183947329737684,,
R_5d,summary,Baseline_SummaryOLS,fx_dev12_avg6,-33.48743014519535,,
R_5d,summary,Baseline_SummaryOLS,fx_dev12_avg12,31.37293691443243,,
R_5d,summary,Ridge,cpi_yoy_m1,5.6792114658946665e-05,,
R_5d,summary,Ridge,cpi_yoy_avg3,0.00011934295117654418,,
R_5d,summary,Ridge,cpi_yoy_avg6,9.865763765942738e-05,,
R_5d,summary,Ridge,cpi_yoy_avg12,0.00013059015479337997,,
R_5d,summary,Ridge,cpi_delta1_m1,-5.581389681597473e-05,,
R_5d,summary,Ridge,cpi_delta1_avg3,1.0071142939568102e-05,,
R_5d,summary,Ridge,cpi_delta1_avg6,-3.503992798481599e-05,,
R_5d,summary,Ridge,cpi_delta1_avg12,1.0237139882981407e-05,,
R_5d,summary,Ridge,cpi_dev12_m1,-2.955785135404121e-05,,
R_5d,summary,Ridge,cpi_dev12_avg3,4.0647343740531494e-05,,
R_5d,summary,Ridge,cpi_dev12_avg6,2.9924598012905803e-05,,
R_5d,summary,Ridge,cpi_dev12_avg12,9.184138762354725e-05,,
R_5d,summary,Ridge,ppi_yoy_m1,4.700063199789617e-06,,
R_5d,summary,Ridge,ppi_yoy_avg3,3.196248481333639e-05,,
R_5d,summary,Ridge,ppi_yoy_avg6,1.2363319376027171e-05,,
R_5d,summary,Ridge,ppi_yoy_avg12,-4.6823659532220994e-05,,
R_5d,summary,Ridge,ppi_delta1_m1,-0.00015491309041233296,,
R_5d,summary,Ridge,ppi_delta1_avg3,-7.14283175102196e-06,,
R_5d,summary,Ridge,ppi_delta1_avg6,3.06825964976971e-05,,
R_5d,summary,Ridge,ppi_delta1_avg12,8.125158655635703e-05,,
R_5d,summary,Ridge,ppi_dev12_m1,4.6912461054321905e-05,,
R_5d,summary,Ridge,ppi_dev12_avg3,9.412380248448923e-05,,
R_5d,summary,Ridge,ppi_dev12_avg6,0.00010568880135873002,,
R_5d,summary,Ridge,ppi_dev12_avg12,5.3650489004609845e-05,,
R_5d,summary,Ridge,m2_yoy_m1,0.00011125537883547568,,
R_5d,summary,Ridge,m2_yoy_avg3,5.073171000236932e-05,,
R_5d,summary,Ridge,m2_yoy_avg6,7.778516536619926e-05,,
R_5d,summary,Ridge,m2_yoy_avg12,2.766064587308602e-05,,
R_5d,summary,Ridge,m2_delta1_m1,0.0002637788595054266,,
R_5d,summary,Ridge,m2_delta1_avg3,-4.50056657751411e-05,,
R_5d,summary,Ridge,m2_delta1_avg6,6.452087214727333e-05,,
R_5d,summary,Ridge,m2_delta1_avg12,0.00010044758799340414,,
R_5d,summary,Ridge,m2_dev12_m1,9.905422086388403e-05,,
R_5d,summary,Ridge,m2_dev12_avg3,3.842714305816782e-05,,
R_5d,summary,Ridge,m2_dev12_avg6,9.14064615064886e-05,,
R_5d,summary,Ridge,m2_dev12_avg12,5.302455797589509e-05,,
R_5d,summary,Ridge,epu_log_m1,0.00010349768726444185,,
R_5d,summary,Ridge,epu_log_avg3,8.439919991662932e-05,,
R_5d,summary,Ridge,epu_log_avg6,0.0001318476470844707,,
R_5d,summary,Ridge,epu_log_avg12,9.430548282727306e-05,,
R_5d,summary,Ridge,epu_log_delta1_m1,4.371357563528846e-05,,
