target,model,feature,coefficient
future_logrv_5,Macro_SummaryOLS,cpi_yoy_m1,0.011444
future_logrv_5,Macro_SummaryOLS,cpi_yoy_avg12,-0.046108
future_logrv_5,Macro_SummaryOLS,cpi_delta1_m1,-0.055781
future_logrv_5,Macro_SummaryOLS,cpi_delta1_avg12,3.111656
future_logrv_5,Macro_SummaryOLS,ppi_yoy_m1,-0.042652
future_logrv_5,Macro_SummaryOLS,ppi_yoy_avg12,-0.08523
future_logrv_5,Macro_SummaryOLS,ppi_delta1_m1,0.1652
future_logrv_5,Macro_SummaryOLS,ppi_delta1_avg12,-2.50047
future_logrv_5,Macro_SummaryOLS,m2_yoy_m1,0.094191
future_logrv_5,Macro_SummaryOLS,m2_yoy_avg12,-0.239642
future_logrv_5,Macro_SummaryOLS,m2_delta1_m1,-0.203886
future_logrv_5,Macro_SummaryOLS,m2_delta1_avg12,1.737916
future_logrv_5,Macro_SummaryOLS,epu_log_m1,1.386323
future_logrv_5,Macro_SummaryOLS,epu_log_avg12,-0.948025
future_logrv_5,Macro_SummaryOLS,epu_log_delta1_m1,-0.305096
future_logrv_5,Macro_SummaryOLS,epu_log_delta1_avg12,-3.425107
future_logrv_5,Macro_SummaryOLS,fx_log_m1,3.790932
future_logrv_5,Macro_SummaryOLS,fx_log_avg12,-17.0778
future_logrv_5,Macro_SummaryOLS,fx_ret1_m1,-0.257717
future_logrv_5,Macro_SummaryOLS,fx_ret1_avg12,101.155924
future_logrv_5,Macro_Ridge,cpi_yoy_m1,0.009963
future_logrv_5,Macro_Ridge,cpi_yoy_avg12,0.008975
future_logrv_5,Macro_Ridge,cpi_delta1_m1,0.007751
future_logrv_5,Macro_Ridge,cpi_delta1_avg12,0.275344
future_logrv_5,Macro_Ridge,ppi_yoy_m1,-0.012089
future_logrv_5,Macro_Ridge,ppi_yoy_avg12,-0.011682
future_logrv_5,Macro_Ridge,ppi_delta1_m1,-0.014269
future_logrv_5,Macro_Ridge,ppi_delta1_avg12,-0.521019
future_logrv_5,Macro_Ridge,m2_yoy_m1,0.002906
future_logrv_5,Macro_Ridge,m2_yoy_avg12,0.000998
future_logrv_5,Macro_Ridge,m2_delta1_m1,-0.003193
future_logrv_5,Macro_Ridge,m2_delta1_avg12,0.350175
future_logrv_5,Macro_Ridge,epu_log_m1,0.001106
future_logrv_5,Macro_Ridge,epu_log_avg12,-0.0072
future_logrv_5,Macro_Ridge,epu_log_delta1_m1,0.068099
future_logrv_5,Macro_Ridge,epu_log_delta1_avg12,0.733075
future_logrv_5,Macro_Ridge,fx_log_m1,-0.819116
future_logrv_5,Macro_Ridge,fx_log_avg12,-0.88636
future_logrv_5,Macro_Ridge,fx_ret1_m1,3.756967
future_logrv_5,Macro_Ridge,fx_ret1_avg12,28.163145
future_logrv_5,Macro_PCR,PC1,0.262548
future_logrv_5,Factor_OLS,price_factor_m1,0.027378
future_logrv_5,Factor_OLS,price_factor_avg12,-0.634068
future_logrv_5,Factor_OLS,money_factor_m1,-0.017897
future_logrv_5,Factor_OLS,money_factor_avg12,0.040576
future_logrv_5,Factor_OLS,policy_factor_m1,0.06044
future_logrv_5,Factor_OLS,policy_factor_avg12,0.216895
future_logrv_5,Factor_OLS,fx_factor_m1,0.042785
future_logrv_5,Factor_OLS,fx_factor_avg12,-0.483434
future_logrv_5,Factor_Ridge,price_factor_m1,-0.013985
future_logrv_5,Factor_Ridge,price_factor_avg12,-0.096534
future_logrv_5,Factor_Ridge,money_factor_m1,0.004124
future_logrv_5,Factor_Ridge,money_factor_avg12,0.015027
future_logrv_5,Factor_Ridge,policy_factor_m1,0.003705
future_logrv_5,Factor_Ridge,policy_factor_avg12,0.000777
future_logrv_5,Factor_Ridge,fx_factor_m1,-0.013315
future_logrv_5,Factor_Ridge,fx_factor_avg12,-0.037777
future_logrv_5,HAR_OLS,past_logrv_5,0.142224
future_logrv_5,HAR_OLS,past_logrv_20,0.457359
future_logrv_5,HAR_OLS,past_logrv_60,0.182577
future_logrv_5,HAR_Ridge,past_logrv_5,0.159657
future_logrv_5,HAR_Ridge,past_logrv_20,0.229624
future_logrv_5,HAR_Ridge,past_logrv_60,0.218409
future_logrv_5,HARplusMacro_Ridge,past_logrv_5,0.123547
future_logrv_5,HARplusMacro_Ridge,past_logrv_20,0.383373
future_logrv_5,HARplusMacro_Ridge,past_logrv_60,0.13816
future_logrv_5,HARplusMacro_Ridge,cpi_yoy_m1,-0.084081
future_logrv_5,HARplusMacro_Ridge,cpi_yoy_avg12,0.027561
future_logrv_5,HARplusMacro_Ridge,cpi_delta1_m1,-0.178793
future_logrv_5,HARplusMacro_Ridge,cpi_delta1_avg12,1.509043
future_logrv_5,HARplusMacro_Ridge,ppi_yoy_m1,-0.033066
