target,model,category,importance
future_logrv_5,HARplusMacro_Ridge,HAR,0.64508
future_logrv_5,HARplusMacro_Ridge,Macro,56.176624
future_absret_5,HARplusMacro_Ridge,HAR,0.420656
future_absret_5,HARplusMacro_Ridge,Macro,0.590649
future_upratio_5,HARplusMacro_Ridge,HAR,0.018847
future_upratio_5,HARplusMacro_Ridge,Macro,2.140168
future_signbalance_5,HARplusMacro_Ridge,HAR,0.018847
future_signbalance_5,HARplusMacro_Ridge,Macro,4.280335
future_logrv_20,HARplusMacro_Ridge,HAR,0.160441
future_logrv_20,HARplusMacro_Ridge,Macro,21.29442
future_absret_20,HARplusMacro_Ridge,HAR,0.12788
future_absret_20,HARplusMacro_Ridge,Macro,0.13983
future_upratio_20,HARplusMacro_Ridge,HAR,0.013766
future_upratio_20,HARplusMacro_Ridge,Macro,3.987635
future_signbalance_20,HARplusMacro_Ridge,HAR,0.013766
future_signbalance_20,HARplusMacro_Ridge,Macro,7.97527
future_logrv_60,HARplusMacro_Ridge,HAR,0.131349
future_logrv_60,HARplusMacro_Ridge,Macro,11.483308
future_absret_60,HARplusMacro_Ridge,HAR,0.098004
future_absret_60,HARplusMacro_Ridge,Macro,0.074034
future_upratio_60,HARplusMacro_Ridge,HAR,0.024323
future_upratio_60,HARplusMacro_Ridge,Macro,1.874767
future_signbalance_60,HARplusMacro_Ridge,HAR,0.024323
future_signbalance_60,HARplusMacro_Ridge,Macro,3.749535
