target,family,horizon,model,best_params,train_r2,test_r2_os,test_rmse,test_mae,unstable,note
future_logrv_5,logrv,5,Macro_SummaryOLS,,0.3174,-0.2181,1.077749,0.814177,False,
future_logrv_5,logrv,5,Macro_Ridge,alpha=10000,0.1127,-0.035,0.993444,0.750193,False,
future_logrv_5,logrv,5,Macro_PCR,n_components=1,0.0269,-0.0598,1.005274,0.764089,False,
future_logrv_5,logrv,5,Factor_OLS,,0.1097,-0.2218,1.079365,0.831677,False,
future_logrv_5,logrv,5,Factor_Ridge,alpha=10000,0.0315,-0.0919,1.020395,0.77471,False,
future_logrv_5,logrv,5,HAR_OLS,,0.4248,0.0567,0.948415,0.699629,False,
future_logrv_5,logrv,5,HAR_Ridge,alpha=1000,0.4299,0.0877,0.932684,0.695791,False,
future_logrv_5,logrv,5,HARplusMacro_Ridge,alpha=10,0.4949,-0.0726,1.011333,0.758351,False,
future_absret_5,absret,5,Macro_SummaryOLS,,0.2865,-0.0483,0.005005,0.003305,False,
future_absret_5,absret,5,Macro_Ridge,alpha=10000,0.1075,-0.0543,0.00502,0.003311,False,
future_absret_5,absret,5,Macro_PCR,n_components=1,0.0488,-0.0891,0.005102,0.003401,False,
future_absret_5,absret,5,Factor_OLS,,0.0877,-0.1433,0.005227,0.003666,False,
future_absret_5,absret,5,Factor_Ridge,alpha=10000,0.0341,-0.1074,0.005145,0.003535,False,
future_absret_5,absret,5,HAR_OLS,,0.3715,0.0958,0.004649,0.002773,False,
future_absret_5,absret,5,HAR_Ridge,alpha=1000,0.3683,0.0973,0.004645,0.002853,False,
future_absret_5,absret,5,HARplusMacro_Ridge,alpha=1000,0.4131,0.1072,0.004619,0.002761,False,
future_upratio_5,upratio,5,Macro_SummaryOLS,,0.0404,-0.1251,0.226887,0.185651,False,
future_upratio_5,upratio,5,Macro_Ridge,alpha=10000,0.0121,-0.0413,0.218281,0.183368,False,
future_upratio_5,upratio,5,Macro_PCR,n_components=2,0.0042,-0.035,0.217621,0.18318,False,
future_upratio_5,upratio,5,Factor_OLS,,0.0159,-0.0824,0.222545,0.184641,False,
future_upratio_5,upratio,5,Factor_Ridge,alpha=10000,0.0069,-0.0394,0.218076,0.18333,False,
future_upratio_5,upratio,5,HAR_OLS,,0.0163,-0.0375,0.217874,0.181859,False,
future_upratio_5,upratio,5,HAR_Ridge,alpha=0.01,0.0125,-0.0189,0.215914,0.180471,False,
future_upratio_5,upratio,5,HARplusMacro_Ridge,alpha=10000,0.0137,-0.0407,0.218215,0.183309,False,
future_signbalance_5,signbalance,5,Macro_SummaryOLS,,0.0404,-0.1251,0.453775,0.371302,False,
future_signbalance_5,signbalance,5,Macro_Ridge,alpha=10000,0.0121,-0.0413,0.436562,0.366736,False,
future_signbalance_5,signbalance,5,Macro_PCR,n_components=2,0.0042,-0.035,0.435242,0.366361,False,
future_signbalance_5,signbalance,5,Factor_OLS,,0.0159,-0.0824,0.445089,0.369281,False,
future_signbalance_5,signbalance,5,Factor_Ridge,alpha=10000,0.0069,-0.0394,0.436151,0.36666,False,
future_signbalance_5,signbalance,5,HAR_OLS,,0.0163,-0.0375,0.435748,0.363717,False,
future_signbalance_5,signbalance,5,HAR_Ridge,alpha=0.01,0.0125,-0.0189,0.431829,0.360943,False,
future_signbalance_5,signbalance,5,HARplusMacro_Ridge,alpha=10000,0.0137,-0.0407,0.436431,0.366618,False,
future_logrv_20,logrv,20,Macro_SummaryOLS,,0.4439,-0.4083,0.850906,0.662291,False,
future_logrv_20,logrv,20,Macro_Ridge,alpha=10000,0.1545,-0.0517,0.735323,0.567115,False,
future_logrv_20,logrv,20,Macro_PCR,n_components=1,0.0482,-0.1123,0.756212,0.59532,False,
future_logrv_20,logrv,20,Factor_OLS,,0.1452,-0.4215,0.85488,0.697545,False,
future_logrv_20,logrv,20,Factor_Ridge,alpha=10000,0.0473,-0.1316,0.762762,0.604573,False,
future_logrv_20,logrv,20,HAR_OLS,,0.5254,0.0001,0.716976,0.520923,False,
future_logrv_20,logrv,20,HAR_Ridge,alpha=10000,0.2379,-0.0099,0.720564,0.548258,False,
future_logrv_20,logrv,20,HARplusMacro_Ridge,alpha=10000,0.3192,0.0363,0.703882,0.523831,False,
future_absret_20,absret,20,Macro_SummaryOLS,,0.401,-0.2791,0.003646,0.002791,False,
future_absret_20,absret,20,Macro_Ridge,alpha=10000,0.1451,-0.0977,0.003377,0.002526,False,
future_absret_20,absret,20,Macro_PCR,n_components=1,0.0727,-0.1692,0.003485,0.002629,False,
future_absret_20,absret,20,Factor_OLS,,0.1299,-0.4126,0.003831,0.003124,False,
future_absret_20,absret,20,Factor_Ridge,alpha=10000,0.0494,-0.1917,0.003519,0.002751,False,
