target,feature_scheme,model,macro_group,aggregated_importance
R_5d,summary,Baseline_SummaryOLS,cpi,8.63344062317315
R_5d,summary,Baseline_SummaryOLS,ppi,4.573352565883199
R_5d,summary,Baseline_SummaryOLS,m2,8.123977502298233
R_5d,summary,Baseline_SummaryOLS,epu,15.990523674659233
R_5d,summary,Baseline_SummaryOLS,fx,240.45328455595381
R_5d,summary,Ridge,cpi,0.0007085161466426641
R_5d,summary,Ridge,ppi,0.0006702151860409343
R_5d,summary,Ridge,m2,0.0010230982689028109
R_5d,summary,Ridge,epu,0.0009057639256593695
R_5d,summary,Ridge,fx,0.0019262220466539884
R_5d,summary,PCR,cpi,0.0009007103656484201
R_5d,summary,PCR,ppi,0.0010691980209300966
R_5d,summary,PCR,m2,0.000971898096902116
R_5d,summary,PCR,epu,0.0009073738331344361
R_5d,summary,PCR,fx,0.0009862021922733076
R_5d,factor,Factor_OLS,price_factor,0.012050864479965595
R_5d,factor,Factor_OLS,money_factor,0.014163544970151874
R_5d,factor,Factor_OLS,policy_factor,0.012828459291988645
R_5d,factor,Factor_OLS,fx_factor,0.017192993669596056
R_5d,factor,Factor_Ridge,price_factor,0.00046793378632538113
R_5d,factor,Factor_Ridge,money_factor,0.0003534308550731328
R_5d,factor,Factor_Ridge,policy_factor,0.0005943126599525716
R_5d,factor,Factor_Ridge,fx_factor,0.0011661873503361507
R_60d,summary,Baseline_SummaryOLS,cpi,108.33308363589185
R_60d,summary,Baseline_SummaryOLS,ppi,35.07313649319564
R_60d,summary,Baseline_SummaryOLS,m2,66.20161050278028
R_60d,summary,Baseline_SummaryOLS,epu,52.96199389125981
R_60d,summary,Baseline_SummaryOLS,fx,1967.7191296675917
R_60d,summary,Ridge,cpi,0.010949949654856758
R_60d,summary,Ridge,ppi,0.007323125181236469
R_60d,summary,Ridge,m2,0.007439212460062609
R_60d,summary,Ridge,epu,0.01126315397289772
R_60d,summary,Ridge,fx,0.021333711084430017
R_60d,summary,PCR,cpi,0.043445059662715495
R_60d,summary,PCR,ppi,0.05231714678871934
R_60d,summary,PCR,m2,0.038006950363307694
R_60d,summary,PCR,epu,0.04700441168113365
R_60d,summary,PCR,fx,0.04563238588135971
R_60d,factor,Factor_OLS,price_factor,0.1283972369880823
R_60d,factor,Factor_OLS,money_factor,0.3836766527028864
R_60d,factor,Factor_OLS,policy_factor,0.14804887816038304
R_60d,factor,Factor_OLS,fx_factor,0.09413155143253302
R_60d,factor,Factor_Ridge,price_factor,0.006561353862481885
R_60d,factor,Factor_Ridge,money_factor,0.004536930890047726
R_60d,factor,Factor_Ridge,policy_factor,0.008140989112604843
R_60d,factor,Factor_Ridge,fx_factor,0.01163359232044019
