date,open,high,low,close,volume,return,volatility_20d
1990-12-19,96.05,99.98,95.79,99.98,126000,,
1990-12-20,104.3,104.39,99.98,104.39,19700,0.044108821764352824,
1990-12-21,109.07,109.13,103.73,109.13,2800,0.045406648146374184,
1990-12-24,113.57,114.55,109.13,114.55,3200,0.049665536516081854,
1990-12-25,120.09,120.25,114.55,120.25,1500,0.04975993016150149,
1990-12-26,125.27,125.27,120.25,125.27,10000,0.041746361746361815,
1990-12-27,125.27,125.28,125.27,125.28,6600,7.982757244362482e-05,
1990-12-28,126.39,126.45,125.28,126.45,10800,0.009339080459770166,
1990-12-31,126.56,127.61,126.48,127.61,7800,0.00917358639778576,
1991-01-02,127.61,128.84,127.61,128.84,9100,0.009638743045215836,
1991-01-03,128.84,130.14,128.84,130.14,14100,0.010090034150884719,
1991-01-04,131.27,131.44,130.14,131.44,42000,0.009989242354387695,
1991-01-07,131.99,132.06,131.45,132.06,21700,0.004716981132075526,
1991-01-08,132.62,132.68,132.06,132.68,292600,0.0046948356807512415,
1991-01-09,133.3,133.34,132.68,133.34,560300,0.004974374434730144,
1991-01-10,133.93,133.97,133.34,133.97,999000,0.0047247637618119676,
1991-01-11,134.61,134.61,134.51,134.6,1332700,0.00470254534597303,
1991-01-14,134.11,135.19,134.11,134.67,1253000,0.0005200594353640398,
1991-01-15,134.21,134.74,134.19,134.74,144600,0.0005197891141310862,
1991-01-16,134.19,134.74,134.14,134.24,50900,-0.0037108505269407566,
1991-01-17,133.67,134.25,133.65,134.25,65800,7.449344457688412e-05,0.0188903325795274
1991-01-18,133.7,134.25,133.67,134.24,300400,-7.4487895716846e-05,0.017863968658336043
1991-01-21,133.7,134.24,133.66,134.24,205100,0.0,0.01632080923242744
1991-01-22,133.72,134.24,133.66,133.72,35400,-0.003873659117997641,0.013752881794491401
1991-01-23,133.17,133.72,133.14,133.17,109500,-0.004113072090936365,0.009829366983307265
1991-01-24,132.61,133.17,132.57,132.61,185700,-0.0042051513103550375,0.00502277909913402
1991-01-25,132.05,132.07,132.03,132.05,344700,-0.0042229092828595105,0.005235892125280531
1991-01-28,131.46,131.55,131.46,131.46,510700,-0.004468004543733417,0.005217428952316589
1991-01-29,130.95,130.97,130.95,130.95,138700,-0.0038795070743954385,0.0050819134055330294
1991-01-30,130.44,130.95,130.41,130.44,52700,-0.0038946162657502725,0.004807427203159679
1991-01-31,129.93,130.46,129.93,129.97,51000,-0.0036031892057650783,0.004341477309903311
1991-02-01,129.5,129.97,129.45,129.51,34500,-0.0035392782949912327,0.003700526678123385
1991-02-04,129.05,129.58,129.05,129.05,55300,-0.0035518492780478583,0.003516963197275262
1991-02-05,128.56,128.58,128.53,128.58,856200,-0.0036419992251065514,0.0032738703874782087
1991-02-06,129.13,129.15,128.06,129.14,664100,0.0043552652045417695,0.003211128633369925
1991-02-07,129.74,129.79,129.14,129.79,213300,0.005033297196840758,0.0032436592320809745
1991-02-08,130.36,130.39,129.79,130.38,123400,0.004545804761537875,0.003227835186927087
1991-02-11,130.92,130.97,130.39,130.97,931700,0.00452523393158466,0.0034798143753895982
1991-02-12,131.54,131.56,130.97,131.35,377400,0.0029014278078949296,0.003587555726111393
1991-02-13,131.93,131.93,131.35,131.92,115200,0.004339550818424076,0.003747023949296388
1991-02-14,132.53,132.53,132.3,132.53,362400,0.004624014554275524,0.003940157377813729
1991-02-19,133.12,133.14,133.08,133.13,174800,0.004527276842978933,0.0041056310920740925
1991-02-20,133.63,133.67,133.13,133.67,87600,0.00405618568316668,0.004225238862405149
1991-02-21,134.24,134.28,133.67,134.28,322000,0.004563477220019596,0.004260638526793736
1991-02-22,134.85,134.87,134.28,134.87,342700,0.00439380399165934,0.004230064206603787
1991-02-25,134.37,134.87,134.33,134.4,81000,-0.003484837250685824,0.004189485782370334
1991-02-26,133.9,134.44,133.9,133.93,109400,-0.0034970238095237693,0.004147721047834733
