排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
1,洗护用品,BK1496,667.9,42.88,6.86,22636481000,2.6,4,0,两面针,10.05
2,医疗研发外包,BK1600,7551.86,484.94,6.86,697687696000,4.35,27,1,睿智医药,20.0
3,其他生物制品,BK1596,8343.48,399.46,5.03,687932192000,2.32,36,1,万泽股份,9.99
4,化学制剂,BK1594,4296.15,203.29,4.97,2213646912000,2.7,113,1,润都股份,10.02
5,集成电路制造,BK1329,2881.37,131.86,4.8,1180875920000,1.65,7,0,晶合集成,8.45
6,综合电力设备商,BK1323,1558.98,71.47,4.8,256601455000,1.34,2,0,东方电气,8.1
7,医美耗材,BK1500,1687.97,76.3,4.73,75216438000,0.74,3,0,锦波生物,9.53
8,玻纤制造,BK1462,11233.33,487.17,4.53,336902704000,4.25,7,1,山东玻纤,10.01
9,医疗服务,BK0727,1401.39,59.88,4.46,995675168000,2.44,49,3,睿智医药,20.0
10,化学制药,BK0465,39380.46,1657.98,4.4,2577760304000,2.74,157,3,津药药业,9.92
11,光伏加工设备,BK1317,8651.57,362.54,4.37,263146410000,4.66,11,0,拉普拉斯,11.17
12,生物制品,BK1044,1081.91,43.66,4.21,1031939776000,1.41,56,1,万泽股份,9.99
13,酒店,BK1560,2766.69,104.76,3.94,72944065000,1.81,6,0,锦江酒店,8.37
14,印制电路板,BK1340,8239.66,311.19,3.92,1613153088000,2.55,44,0,中京电子,10.03
15,宠物食品,BK1507,1829.81,66.91,3.8,37958029000,2.58,4,0,中宠股份,6.12
16,分立器件,BK1327,12984.02,474.29,3.79,452158384000,1.59,18,0,派瑞股份,10.8
17,食用菌,BK1517,1554.92,55.28,3.69,15982750000,2.02,3,0,华绿生物,11.28
18,元件,BK0459,39292.66,1363.87,3.6,1914459328000,2.55,60,3,中京电子,10.03
19,个护小家电,BK1458,937.28,31.05,3.43,21556890000,1.43,4,0,彩虹集团,5.99
20,医药生物,BK1216,4959.33,163.25,3.4,7165649408000,2.06,480,23,津药药业,9.92
21,游戏Ⅱ,BK1046,1470.66,46.1,3.24,508452496000,1.83,24,1,完美世界,10.02
